"instance","repetitions","pool_size","iterations","generated_best","ma_cetsp","final","lei_hao","prior_base","prior_final","hybrid_gain_vs_prior_percent","gap_to_lei_hao_percent","seed_ms","ma_ms","socp_ms","valid"
"chaoSingleDep.txt","1000","40","200","1042.6794519098","1039.6166161709","1039.6166161619","1039.61","1042.5337624298","1042.5337624298","0.27981312193678537","0.0006364080665040944","905","14360","136","true"
"concentricCircles1.txt","1000","40","200","53.1974897462","53.1581705285","53.1581705284","53.158","53.1913082758","53.1913082758","0.06229917720424685","0.00032079536475827596","100","8962","65","true"
"concentricCircles2.txt","1000","40","200","153.8751729572","153.8751729572","153.8751729572","153.132","153.9346343983","153.9346343983","0.03862772100147265","0.4853152555964711","235","4381","72","true"
"concentricCircles3.txt","1000","40","200","271.6221852446","270.7039932074","270.7039932074","270.007","271.8878525037","271.8878525037","0.43542191583711487","0.2581389398793359","370","6254","83","true"
"concentricCircles4.txt","1000","40","200","461.0525238762","456.1704725828","456.1704725819","451.87","460.6572427455","460.6572427455","0.973993187832892","0.9517057078141966","730","10386","103","true"
"concentricCircles5.txt","1000","40","200","641.1378295484","637.7337628871","637.7337628769","632.977","639.0377094057","639.0377094057","0.2040484480974773","0.7514906350309701","1191","11843","142","true"
"d493_or10.txt","1000","40","200","100.9386509018","100.7435242599","100.7435202315","100.721","100.9566484206","100.9566484206","0.21110862180376813","0.022359022944565838","2148","21053","143","true"
"d493_or2.txt","1000","40","200","200.4442914658","200.4442914658","200.4442914658","199.015","200.6155408733","200.6155408733","0.08536198479665796","0.718182783106811","3204","18949","258","true"
"d493_or30.txt","1000","40","200","69.7704689312","69.7576262025","69.7576262025","69.7577","69.7591947856","69.7591947856","0.002248568242246152","-0.0001057911886337833","2574","19601","890","true"
"d493rdmRad.txt","1000","40","200","134.646552134","134.2263577208","134.2263577206","134.226","134.6495614867","134.6495614867","0.3143001443356488","0.00026650619104582723","690","21681","459","true"
"dsj1000_or10.txt","1000","40","200","375.629682575","373.8764027702","373.8764027699","373.759","376.4712580692","376.4712580692","0.6892572125182184","0.03141135595396178","3928","61891","675","true"
"dsj1000_or2.txt","1000","40","200","925.1558883519","925.1558883519","925.1096346558","909.502","924.4587780147","924.2965472103","-0.08796824438586398","1.7160638080839952","8399","74534","1316","true"
"dsj1000_or30.txt","1000","40","200","200.1508474303","199.9486951292","199.9486951277","199.948","200.4446517399","200.4446517399","0.24742820918143063","0.0003476542401016593","3851","60120","1900","true"
"dsj1000rdmRad.txt","1000","40","200","626.0285254779","624.6968753773","624.6968752587","624.604","626.1015963325","626.1015963325","0.22435992529462206","0.014869462683541142","1561","58169","1359","true"
"kroD100_or10.txt","1000","40","200","89.8036429777","89.6681987347","89.6681987346","89.6679","89.8070227918","89.8070227918","0.15458040238326756","0.0003331566814814188","388","7210","84","true"
"kroD100_or2.txt","1000","40","200","159.591582811","159.0338341204","159.0338341203","159.037","159.5980582894","159.5980582894","0.3535282165381211","-0.001990656073738845","626","8264","112","true"
"kroD100_or30.txt","1000","40","200","58.5796653638","58.5411231414","58.5411231413","58.5412","58.5599988035","58.5599988035","0.03223303037170597","-0.0001312899291529537","207","6224","90","true"
"kroD100rdmRad.txt","1000","40","200","142.1809129635","141.8288733039","141.8288733038","141.829","142.2124952009","142.2124952009","0.2697525956197213","-8.933024980704406E-05","487","6615","130","true"
"lin318_or10.txt","1000","40","200","1402.8842047845","1398.0853140398","1397.9917936895","1394.63","1403.5010237385","1403.5010237385","0.3925348080135445","0.24105273007893066","1337","13695","136","true"
"lin318_or2.txt","1000","40","200","2830.9855059967","2827.8764538568","2827.8764538563","2816.58","2833.6556942658","2833.6556942658","0.20394998662662986","0.40106987397127386","2783","23863","283","true"
"lin318_or30.txt","1000","40","200","766.1513381944","765.9639250158","765.9639250157","765.964","766.0751606047","766.0751606047","0.014520192628643038","-9.78953318947292E-06","906","12704","161","true"
"lin318rdmRad.txt","1000","40","200","2051.9501014619","2047.1072561269","2047.1072560375","2047.11","2052.40566627","2052.40566627","0.25815609065868256","-0.0001340407940870352","753","17271","306","true"
"pcb442_or10.txt","1000","40","200","143.1518137494","142.9763711278","142.9728373832","142.573","143.1368723857","143.1368723857","0.11460010252145371","0.2804439712988995","1947","18241","199","true"
"pcb442_or2.txt","1000","40","200","333.5416982172","323.7751886428","323.763106923","319.846","334.3335974587","334.3269343882","3.1597297072493524","1.224685293234871","4050","34348","307","true"
"pcb442_or30.txt","1000","40","200","83.5398860247","83.537229518","83.537229518","83.5373","83.5427050476","83.5427050476","0.00655416843023135","-8.4371891356497E-05","1351","14899","1022","true"
"pcb442rdmRad.txt","1000","40","200","221.1957397384","221.1957397384","221.1957397384","219.219","220.9245586333","220.9245586333","-0.12274828420054303","0.9017191659482067","889","14519","598","true"
"rat195_or10.txt","1000","40","200","68.0639880262","67.99082085","67.9908208494","67.9909","68.0416651103","68.0416651103","0.0747251861305645","-0.00011641352004650431","853","9119","185","true"
"rat195_or2.txt","1000","40","200","160.8253449191","160.5457165242","160.5457165242","157.97","160.1172176375","160.1172176375","-0.2676157461529872","1.6305099222637236","1597","14482","175","true"
"rat195_or30.txt","1000","40","200","45.7021760896","45.7016416013","45.7016416012","45.7017","45.7028597736","45.7028597736","0.00266541832618123","-0.00012778255513525269","435","7132","126","true"
"rat195rdmRad.txt","1000","40","200","68.2477145331","68.2240033398","68.2240033396","68.224","68.2516596258","68.2516596258","0.04052104571761172","4.895051593585946E-06","212","7264","280","true"
"rd400_or10.txt","1000","40","200","453.7154318086","453.7154318086","453.6777911725","452.826","455.7984933357","455.7984933357","0.46527186776769136","0.1881056239041014","1665","13192","195","true"
"rd400_or2.txt","1000","40","200","1042.1679448841","1042.1679448841","1042.0533044646","1018.46","1040.2759952962","1040.2759952962","-0.1708497722177822","2.316566626534169","3431","14883","532","true"
"rd400_or30.txt","1000","40","200","224.9100264929","224.8385966647","224.8385966555","224.839","224.9474116335","224.9474116335","0.04837351859699858","-0.0001793925875850976","914","11726","130","true"
"rd400rdmRad.txt","1000","40","200","1276.6272494252","1250.5967137294","1250.5967137285","1238.28","1277.1041899984","1277.1041899984","2.0755923030785186","0.994663059122328","3753","35190","763","true"
"rotatingDiamonds1.txt","1000","40","200","32.4437589081","32.3890296234","32.3890296234","32.389","32.4381571202","32.4381571202","0.15144971589465334","9.146129857706614E-05","91","4045","52","true"
"rotatingDiamonds2.txt","1000","40","200","140.6818993677","140.4774098161","140.4774098161","140.477","140.6798424213","140.6798424213","0.1438959567453755","0.0002917318137408987","326","4943","73","true"
"rotatingDiamonds3.txt","1000","40","200","381.5861979544","380.8860486595","380.8860486595","380.882","381.5703476824","381.5703476824","0.17933757878627998","0.0010629695023582156","1405","8543","120","true"
"rotatingDiamonds4.txt","1000","40","200","790.6693149148","771.1163792447","771.1163792447","770.661","774.3256119186","774.3256119186","0.414455188424955","0.05908943682113296","2809","21280","212","true"
"rotatingDiamonds5.txt","1000","40","200","1536.0933781014","1511.5432895413","1511.5427556062","1510.75","1544.1784358335","1538.2524602435","1.7363667751307894","0.052474307873572025","7277","34141","431","true"
"team1_100.txt","1000","40","200","308.2300330979","307.3368694689","307.3368694688","307.337","308.0474134853","308.0474134853","0.23066060138626363","-4.247168417728758E-05","379","6035","72","true"
"team1_100rdmRad.txt","1000","40","200","399.2782010013","388.6414926338","388.6219700004","388.537","397.7675908298","397.1389294019","2.144579332559196","0.021869217191671727","281","10925","129","true"
"team2_200.txt","1000","40","200","247.4287084318","246.6829835082","246.6829835082","246.683","247.3075398051","247.3075398051","0.2525423597647638","-6.685422174423057E-06","624","8144","95","true"
"team2_200rdmRad.txt","1000","40","200","624.0880692995","622.2953921428","622.2953915286","613.659","623.9248081587","623.9248081587","0.2611559291749645","1.4073600368608672","1045","14475","169","true"
"team3_300.txt","1000","40","200","463.036675785","461.8885941009","461.8885940997","461.889","463.1220649909","463.1220649909","0.26633818261806125","-8.787832141384834E-05","1573","18052","158","true"
"team3_300rdmRad.txt","1000","40","200","379.1259041389","378.1537700382","378.1537700382","378.087","379.1418941724","379.1418941724","0.26062119469991774","0.017659966674334407","404","10968","191","true"
"team4_400.txt","1000","40","200","674.2217617296","674.2217617296","674.1099957963","669.91","676.4785486977","676.4785486977","0.3501297869621637","0.6269492612888407","2967","12961","216","true"
"team4_400rdmRad.txt","1000","40","200","1005.9476788089","1005.9476788089","1005.9476788089","984.24","1010.7709219541","1010.7709219541","0.47718459647368","2.2055269861923947","2929","15441","607","true"
"team5_499.txt","1000","40","200","704.8450402083","704.8450402083","704.7912680985","693.798","703.0381704625","703.0381704625","-0.24936023528377066","1.5845055907483214","3449","22905","258","true"
"team5_499rdmRad.txt","1000","40","200","446.5160087919","446.191186671","446.191186671","446.191","446.5036231165","446.5036231165","0.06997400005833278","4.1836567759394394E-05","595","18596","360","true"
"team6_500.txt","1000","40","200","225.3875420481","225.2160047918","225.2160047906","225.216","225.3915488144","225.3915488144","0.07788403102218944","2.1271135274690974E-06","1579","19852","310","true"
"team6_500rdmRad.txt","1000","40","200","625.8901063812","625.8901063812","625.8805614448","620.886","627.0223292356","627.0223292356","0.18209364125705724","0.8044248774815457","1411","20752","445","true"
