"instance","run","seed","repetitions","pool_size","iterations","patience","initial_patience","generated_best","ma_cetsp","final","lei_hao","improvement_vs_lei_hao_percent","seed_ms","ma_ms","socp_ms","ma_best_time","ma_total_time","ma_valid","final_valid"
"bubbles2.txt","4","123456792","1000","20","5000","500","1500","428.5139262266","428.279256281","428.279256281","428.279","-5.9839730647534284E-05","4162","66022","94","1.751876","65.9583","true","true"
"bubbles2.txt","5","123456793","1000","20","5000","500","1500","428.5436265672","428.2792562812","428.2792562812","428.279","-5.983977734026205E-05","4230","63402","102","1.79778","63.3358","true","true"
"bubbles2.txt","6","123456794","1000","20","5000","500","1500","428.4214275559","428.279256281","428.279256281","428.279","-5.9839730647534284E-05","4199","65255","89","1.795902","65.1891","true","true"
"bubbles2.txt","7","123456795","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4134","65074","260","1.633571","65.0066","true","true"
"bubbles2.txt","8","123456796","1000","20","5000","500","1500","428.5139262266","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4008","63119","105","1.635136","63.0564","true","true"
"bubbles2.txt","9","123456797","1000","20","5000","500","1500","428.4081618699","428.2792562812","428.2792562812","428.279","-5.983977734026205E-05","4115","62939","96","1.536307","62.8729","true","true"
"bubbles2.txt","10","123456798","1000","20","5000","500","1500","428.4214275559","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4186","63892","107","1.629691","63.8304","true","true"
"bubbles2.txt","11","123456799","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4194","64175","94","1.514402","64.1104","true","true"
"bubbles2.txt","12","123456800","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4175","64650","81","1.514426","64.5877","true","true"
"bubbles2.txt","13","123456801","1000","20","5000","500","1500","428.4081618699","428.279256281","428.279256281","428.279","-5.9839730647534284E-05","4402","68511","83","1.707098","68.4326","true","true"
"bubbles2.txt","14","123456802","1000","20","5000","500","1500","428.5436265672","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4412","67988","92","1.784271","67.9132","true","true"
"bubbles2.txt","15","123456803","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4306","65567","89","1.703744","65.5","true","true"
"bubbles2.txt","16","123456804","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4305","66280","87","2.361199","66.2162","true","true"
"bubbles2.txt","17","123456805","1000","20","5000","500","1500","428.5436265672","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4313","67600","82","2.276508","67.5372","true","true"
"bubbles2.txt","18","123456806","1000","20","5000","500","1500","428.5139262266","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4095","63591","88","1.5705","63.5204","true","true"
"bubbles2.txt","19","123456807","1000","20","5000","500","1500","428.4081618699","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4004","60844","90","1.58356","60.7715","true","true"
"bubbles2.txt","20","123456808","1000","20","5000","500","1500","428.5139262266","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","3946","63133","78","2.808216","63.0668","true","true"
"bubbles3.txt","1","123456789","1000","20","5000","500","1500","531.4460123614","529.9638935821","529.963893577","529.955","-0.001678175882854341","8705","138308","123","41.438622","138.222","true","true"
"bubbles3.txt","2","123456790","1000","20","5000","500","1500","531.3469512391","529.9613093639","529.9613093603","529.955","-0.0011905464237438178","8692","148334","129","44.717776","148.221","true","true"
"bubbles3.txt","3","123456791","1000","20","5000","500","1500","531.6789901738","529.9593402791","529.9593402748","529.955","-0.0008189893103971615","10865","132044","164","2.803988","131.95","true","true"
"bubbles3.txt","4","123456792","1000","20","5000","500","1500","531.6789901738","529.9657282813","529.9657282287","529.955","-0.00202436597445405","7821","96358","135","3.159255","96.2914","true","true"
"bubbles3.txt","5","123456793","1000","20","5000","500","1500","531.503751927","529.9580795058","529.9580794804","529.955","-0.0005810833749935348","7937","121616","149","28.374007","121.543","true","true"
"bubbles3.txt","6","123456794","1000","20","5000","500","1500","531.3469512391","530.1714525568","530.171452555","529.955","-0.04084357256746941","7859","96698","106","2.415275","96.6343","true","true"
"bubbles3.txt","7","123456795","1000","20","5000","500","1500","531.4306643047","529.9547584089","529.9547583644","529.955","4.559549395538134E-05","7861","163826","129","71.246428","163.745","true","true"
"bubbles3.txt","8","123456796","1000","20","5000","500","1500","531.6789901738","529.9638932918","529.9638932778","529.955","-0.0016781194252312721","7560","94022","143","2.357062","93.9582","true","true"
"bubbles3.txt","9","123456797","1000","20","5000","500","1500","531.4306643047","529.9564282466","529.9564282213","529.955","-0.0002694985989355253","7824","116388","117","22.842151","116.318","true","true"
"bubbles3.txt","10","123456798","1000","20","5000","500","1500","531.3469512391","529.9548047509","529.9548047507","529.955","3.6842618727475685E-05","7833","97670","191","6.032794","97.6048","true","true"
"bubbles3.txt","11","123456799","1000","20","5000","500","1500","531.4306643047","529.9628434181","529.9628433647","529.955","-0.0014800057929381936","7894","98145","122","3.710614","98.078","true","true"
"bubbles3.txt","12","123456800","1000","20","5000","500","1500","531.4306643047","529.9609897407","529.9609897406","529.955","-0.0011302356992468447","7898","163213","189","71.878888","163.134","true","true"
"bubbles3.txt","13","123456801","1000","20","5000","500","1500","531.4306643047","530.2739484553","530.2739484458","529.955","-0.060184062005254585","8251","98511","112","1.92276","98.4427","true","true"
"bubbles3.txt","14","123456802","1000","20","5000","500","1500","531.503751927","530.0038151102","530.0024236145","529.955","-0.008948611580221384","8204","97148","112","1.979635","97.0798","true","true"
"bubbles3.txt","15","123456803","1000","20","5000","500","1500","531.4306643047","529.9561832211","529.9561832148","529.955","-0.0002232670321053576","8101","99756","101","4.585559","99.6882","true","true"
"bubbles3.txt","16","123456804","1000","20","5000","500","1500","531.4306643047","529.9561367442","529.9561367398","529.955","-0.00021449741957407846","8435","98354","134","3.822272","98.286","true","true"
"bubbles3.txt","17","123456805","1000","20","5000","500","1500","531.503751927","530.0874031821","530.047878549","529.955","-0.017525742563032708","8129","116122","123","22.213235","116.048","true","true"
"bubbles3.txt","18","123456806","1000","20","5000","500","1500","531.6789901738","529.9564098413","529.9564098239","529.955","-0.00026602709663315716","7710","90911","136","3.731862","90.8346","true","true"
"bubbles3.txt","19","123456807","1000","20","5000","500","1500","531.4306643047","529.9563630203","529.9563630116","529.955","-0.000257193837213697","7447","145370","120","55.286842","145.29","true","true"
"bubbles3.txt","20","123456808","1000","20","5000","500","1500","531.6789901738","529.9612160555","529.9612160517","529.955","-0.0011729395326006624","7460","168789","125","81.153485","168.705","true","true"
"bubbles4.txt","1","123456789","1000","20","5000","500","1500","810.1842643148","806.5143280682","806.5143280656","802.974","-0.440901955181608","15403","349417","208","229.180454","349.283","true","true"
"bubbles4.txt","2","123456790","1000","20","5000","500","1500","810.3436451526","810.3436451526","810.1715242056","802.974","-0.8963583136689309","15217","407908","173","1.695159","407.744","true","true"
"bubbles4.txt","3","123456791","1000","20","5000","500","1500","810.7631801003","810.7631801003","810.7631801003","802.974","-0.9700413836936155","19618","569707","218","1.917663","569.589","true","true"
"bubbles4.txt","4","123456792","1000","20","5000","500","1500","809.4803412038","805.1761878859","805.1693697404","802.974","-0.27340483507560603","13758","296175","137","183.043382","296.049","true","true"
"bubbles4.txt","5","123456793","1000","20","5000","500","1500","810.6612866696","804.7206722559","804.7206722406","802.974","-0.21752537947679396","13819","195240","186","78.545974","195.155","true","true"
"bubbles4.txt","6","123456794","1000","20","5000","500","1500","810.3436451526","809.5056252038","809.4963295812","802.974","-0.8122715780585652","13740","183061","166","69.553891","182.976","true","true"
"bubbles4.txt","7","123456795","1000","20","5000","500","1500","809.2792082427","807.2232682249","807.2232682238","802.974","-0.5291912594679228","13651","124300","140","10.672053","124.233","true","true"
"bubbles4.txt","8","123456796","1000","20","5000","500","1500","810.7631801003","805.2970593989","805.2970593962","802.974","-0.289306926027485","13461","281517","155","174.971999","281.401","true","true"
