instance,our_mean,our_sd,our_runs,lei_hao_mean,lei_hao_sd,lei_hao_runs,mean_difference,rounding_aware_mean_difference,reference_mean_for_test,reference_sd_for_test,welch_t,degrees_of_freedom,p_value,holm_adjusted_p_value,classification
rat195_or2.txt,157.99486926506,0.16787164521307302,20,158.85,0.58,20,-0.8551307349399906,-0.8501307349399951,158.845,0.585,-6.2468600128394565,22.108075784046196,2.690328459124237e-06,0.00015872937908832999,significant_win
rat195_or30.txt,45.70164159732499,4.4426958675004606e-11,20,45.7,0.0,20,0.0016415973249905846,0.0,45.70164159732499,0.005,0.0,19.0,1.0,1.0,inconclusive
rat195rdmRad.txt,68.22400333737001,5.712337445146314e-11,20,68.22,0.0,20,0.004003337370008353,0.0,68.22400333737001,0.005,0.0,19.000000000000007,1.0,1.0,inconclusive
rd400_or10.txt,449.993645982995,1.7558885022370296,20,453.96,0.99,20,-3.96635401700496,-3.9613540170049646,453.955,0.995,-8.777936118111551,30.061568462228724,8.535328661498076e-10,5.1211971968988456e-08,significant_win
rd400_or2.txt,1020.64309035118,1.2858032716146732,20,1021.19,1.79,20,-0.5469096488200194,-0.5419096488200239,1021.1850000000001,1.795,-1.0975910034660263,34.43474466869274,0.27999918540998747,1.0,inconclusive
rd400_or30.txt,224.838596620675,4.0376696153319063e-10,20,224.84,0.0,20,-0.0014033793250121107,0.0,224.838596620675,0.005,0.0,19.000000000000245,1.0,1.0,inconclusive
rd400rdmRad.txt,1239.5917522330851,2.0328474573188458,20,1240.89,1.32,20,-1.298247766914983,-1.2932477669148739,1240.885,1.325,-2.3834682748359315,32.67555006168165,0.02312209403625264,1.0,inconclusive
rotatingDiamonds1.txt,32.389029623255,5.1039062724246884e-11,20,32.39,0.0,20,-0.0009703767450019996,0.0,32.389029623255,0.005,0.0,19.000000000000007,1.0,1.0,inconclusive
rotatingDiamonds2.txt,140.477409359575,3.5844519033020907e-09,20,140.48,0.0,20,-0.0025906404249838033,0.0,140.477409359575,0.005,0.0,19.00000000001953,1.0,1.0,inconclusive
rotatingDiamonds3.txt,380.882563701665,0.00033206351923277283,20,380.88,0.0,20,0.0025637016649966426,0.0,380.882563701665,0.005,0.0,19.16760133433964,1.0,1.0,inconclusive
rotatingDiamonds4.txt,770.689871737665,0.06459712804333276,20,770.67,0.02,20,0.019871737665084765,0.014871737665089313,770.675,0.025,0.9601877119959815,24.566752342629577,0.3463165254800966,1.0,inconclusive
rotatingDiamonds5.txt,1510.790183151055,0.06424354199273953,20,1510.77,0.03,20,0.020183151055107373,0.015183151054998234,1510.775,0.034999999999999996,0.9281312971163097,29.36558154649452,0.3609059674756989,1.0,inconclusive
team1_100.txt,307.336869465795,2.0385532764041223e-10,20,307.34,0.0,20,-0.003130534204956348,0.0,307.336869465795,0.005,0.0,19.000000000000064,1.0,1.0,inconclusive
team1_100rdmRad.txt,388.536875650135,6.70737035606316e-11,20,388.54,0.0,20,-0.0031243498650042056,0.0,388.536875650135,0.005,0.0,19.000000000000007,1.0,1.0,inconclusive
team2_200.txt,246.682983519355,1.6316492206720422e-08,20,246.68,0.0,20,0.0029835193549843098,0.0,246.682983519355,0.005,0.0,19.00000000040466,1.0,1.0,inconclusive
team2_200rdmRad.txt,614.47267368197,1.5497086906941315,20,614.28,1.28,20,0.19267368197006363,0.18767368197006817,614.285,1.285,0.41690740207476595,36.740541792052305,0.6791720650105566,1.0,inconclusive
team3_300.txt,461.90457876711497,0.027928067373047125,20,462.16,0.58,20,-0.25542123288505536,-0.2504212328850599,462.15500000000003,0.585,-1.9122115469676697,19.08660667699621,0.07097746544533991,1.0,inconclusive
team3_300rdmRad.txt,378.08714232175,1.8495730498203967e-10,20,378.09,0.0,20,-0.002857678249995388,0.0,378.08714232175,0.005,0.0,19.00000000000005,1.0,1.0,inconclusive
team4_400.txt,673.820242461905,2.246408398135174,20,675.46,3.04,20,-1.6397575380950684,-1.634757538095073,675.455,3.045,-1.9320638280339202,34.955473719127255,0.06148891321002562,1.0,inconclusive
team4_400rdmRad.txt,985.14500134433,0.7553152815339624,20,986.44,2.23,20,-1.2949986556700424,-1.289998655670047,986.4350000000001,2.235,-2.4453630048210995,23.284073137477417,0.022437906363199613,1.0,inconclusive
team5_499.txt,695.493953506285,0.7972661054596754,20,697.37,1.68,20,-1.8760464937149663,-1.871046493714971,697.365,1.6849999999999998,-4.488808015103977,27.101237012528593,0.00011936427803434014,0.006684399569923048,significant_win
team5_499rdmRad.txt,446.191186670175,3.93199925956506e-10,20,446.19,0.0,20,0.0011866701750022912,0.0,446.191186670175,0.005,0.0,19.000000000000238,1.0,1.0,inconclusive
team6_500.txt,225.21600458476001,1.2162947081249598e-09,20,225.22,0.0,20,-0.003995415239984368,0.0,225.21600458476001,0.005,0.0,19.000000000002245,1.0,1.0,inconclusive
team6_500rdmRad.txt,621.00372223005,0.29192566067282466,20,620.94,0.13,20,0.06372223004996158,0.05872223004996613,620.945,0.135,0.8165100687858708,26.77114592688449,0.42141505677557756,1.0,inconclusive
