"instance","runs_completed","best_run","best_seed","generated_best","ma_cetsp","best_final","mean_final","lei_hao","published_precision","comparison_at_published_precision","improvement_vs_lei_hao_percent","final_valid","best_tour"
"bonus1000.txt","20","19","123456807","379.0252945632","376.6678471738","376.6677889355","377.33668173205","384.365","3","improvement","2.002578555409567","true","results/mennell_hybrid/tours/bonus1000.result"
"bonus1000rdmRad.txt","20","17","123456805","936.7854929044","916.8484396093","916.8484396076","919.0241195030949","917.61","2","improvement","0.08299390725907983","true","results/mennell_hybrid/tours/bonus1000rdmRad.result"
"bubbles1.txt","20","1","123456789","349.3100214715","349.1348891707","349.1348891707","349.13488917073005","349.135","3","tie","3.174396723701087E-05","true","results/mennell_hybrid/tours/bubbles1.result"
"bubbles2.txt","20","4","123456792","428.5139262266","428.279256281","428.279256281","428.27925628109494","428.279","3","tie","-5.9839730647534284E-05","true","results/mennell_hybrid/tours/bubbles2.result"
"bubbles3.txt","20","7","123456795","531.4306643047","529.9547584089","529.9547583644","529.99220403234","529.955","3","tie","4.559549395538134E-05","true","results/mennell_hybrid/tours/bubbles3.result"
"bubbles4.txt","20","5","123456793","810.6612866696","804.7206722559","804.7206722406","807.6949809133802","802.974","3","loss","-0.21752537947679396","true","results/mennell_hybrid/tours/bubbles4.result"
"bubbles5.txt","20","15","123456803","1061.8589274945","1035.8843007364","1035.8843007288","1038.7607468832252","1035.32","2","loss","-0.054504957771525975","true","results/mennell_hybrid/tours/bubbles5.result"
"bubbles6.txt","20","14","123456802","1296.690592424","1221.5653439336","1221.5653439128","1229.064997155545","1220.07","2","loss","-0.12256214092634693","true","results/mennell_hybrid/tours/bubbles6.result"
"bubbles7.txt","20","15","123456803","1637.2496680682","1624.3737234219","1623.8890801667","1638.5935470322202","1575.04","2","loss","-3.101450132485531","true","results/mennell_hybrid/tours/bubbles7.result"
"bubbles8.txt","20","19","123456807","1982.5732188652","1884.3620489651","1884.1335889453","1928.292148985175","1881.93","2","loss","-0.11709197182148104","true","results/mennell_hybrid/tours/bubbles8.result"
"bubbles9.txt","20","20","123456808","2333.0917662504","2150.0154618832","2149.3414380165","2190.645387821145","2148.4","1","loss","-0.04382042526996311","true","results/mennell_hybrid/tours/bubbles9.result"
"chaoSingleDep.txt","20","1","123456789","1042.5080639622","1039.6108911803","1039.6108911803","1039.6110038343052","1039.61","2","tie","-8.572255943926412E-05","true","results/mennell_hybrid/tours/chaoSingleDep.result"
"concentricCircles1.txt","20","18","123456806","53.1974897462","53.15799619","53.15799619","53.1579961908","53.158","3","tie","7.167312544870029E-06","true","results/mennell_hybrid/tours/concentricCircles1.result"
"concentricCircles2.txt","20","17","123456805","153.8108091448","153.1322829758","153.1322829758","153.15867703782","153.132","3","tie","-0.00018479207480505798","true","results/mennell_hybrid/tours/concentricCircles2.result"
"concentricCircles3.txt","20","3","123456791","271.6783903299","270.0133376072","270.0133376046","270.191643198855","270.007","3","loss","-0.0023472001096237","true","results/mennell_hybrid/tours/concentricCircles3.result"
"concentricCircles4.txt","20","3","123456791","460.9435633854","452.0817842346","452.0817842345","452.98618710432504","451.87","2","loss","-0.04686839898643131","true","results/mennell_hybrid/tours/concentricCircles4.result"
"concentricCircles5.txt","20","3","123456791","641.1464756649","633.0507589031","633.050758903","633.6903987816152","632.977","3","loss","-0.011652698755246731","true","results/mennell_hybrid/tours/concentricCircles5.result"
"d493_or10.txt","20","16","123456804","100.9393503876","100.7202987593","100.7202987593","100.720339785795","100.721","3","improvement","0.0006962209469826852","true","results/mennell_hybrid/tours/d493_or10.result"
