"instance","repetitions","lei_hao","historical_cetsp","current_base","after_lkh","after_socp","final","postprocess_improvement_percent","final_gap_to_lei_hao_percent","solver_ms","lkh_ms","socp_ms","valid"
"kroD100_or10.txt","1000","89.6679","89.7807","89.8070227918","89.8070227918","89.8070227918","89.8070227918","0","0.15515339580830076","278","38","76","true"
"kroD100_or2.txt","1000","159.037","159.6029","159.5980582894","159.5980582894","159.5980582894","159.5980582894","0","0.3527847541138192","496","44","87","true"
"kroD100_or30.txt","1000","58.5412","58.5758","58.5599988035","58.5599988035","58.5599988035","58.5599988035","0","0.03211209114264402","110","38","69","true"
"kroD100rdmRad.txt","1000","141.829","142.199","142.2124952009","142.2124952009","142.2124952009","142.2124952009","0","0.2703926565794023","387","41","133","true"
"lin318_or10.txt","1000","1394.63","1404.3428","1403.5010237385","1403.5010237385","1403.5010237385","1403.5010237385","0","0.6360843907344488","1053","39","97","true"
"lin318_or2.txt","1000","2816.58","2833.4102","2833.6556942658","2833.6556942658","2833.6556942658","2833.6556942658","0","0.606256320282042","2239","55","227","true"
"lin318_or30.txt","1000","765.964","765.9979","766.0751606047","766.0751606047","766.0751606047","766.0751606047","0","0.014512510339910172","631","35","503","true"
"lin318rdmRad.txt","1000","2047.11","2052.4863","2052.40566627","2052.40566627","2052.40566627","2052.40566627","0","0.25868987352902795","468","41","224","true"
"pcb442_or10.txt","1000","142.573","143.3016","143.1368723857","143.1368723857","143.1368723857","143.1368723857","0","0.3954973141478362","1462","42","141","true"
"pcb442_or2.txt","1000","319.846","332.7006","334.3335974587","334.3335974587","334.3269343882","334.3269343882","0.001992940748594576","4.527470841655051","3190","81","228","true"
"pcb442_or30.txt","1000","83.5373","83.538","83.5427050476","83.5427050476","83.5427050476","83.5427050476","0","0.006470220608031311","924","34","1031","true"
"pcb442rdmRad.txt","1000","219.219","220.2797","220.9245586333","220.9245586333","220.9245586333","220.9245586333","0","0.7780158806034152","583","46","616","true"
"rat195_or10.txt","1000","67.9909","68.0803","68.0416651103","68.0416651103","68.0416651103","68.0416651103","0","0.07466456584632024","583","37","100","true"
"rat195_or2.txt","1000","157.97","160.4951","160.1172176375","160.1172176375","160.1172176375","160.1172176375","0","1.3592565914414168","1342","43","174","true"
"rat195_or30.txt","1000","45.7017","45.7022","45.7028597736","45.7028597736","45.7028597736","45.7028597736","0","0.0025377034114577707","303","42","87","true"
"rat195rdmRad.txt","1000","68.224","68.2517","68.2516596258","68.2516596258","68.2516596258","68.2516596258","0","0.04054236896106702","121","38","173","true"
"rd400_or10.txt","1000","452.826","453.9433","455.7984933357","455.7984933357","455.7984933357","455.7984933357","0","0.6564316836268222","1440","39","149","true"
"rd400_or2.txt","1000","1018.46","1040.517","1040.2759952962","1040.2759952962","1040.2759952962","1040.2759952962","0","2.1420571545470684","3157","78","249","true"
"rd400_or30.txt","1000","224.839","224.9101","224.9474116335","224.9474116335","224.9474116335","224.9474116335","0","0.048217450486791706","702","39","526","true"
"rd400rdmRad.txt","1000","1238.28","1279.5152","1277.1041899984","1277.1041899984","1277.1041899984","1277.1041899984","0","3.1353320733921257","3180","131","802","true"
"rotatingDiamonds1.txt","1000","32.389","32.4306","32.4381571202","32.4381571202","32.4381571202","32.4381571202","0","0.15177103399302322","45","40","52","true"
"rotatingDiamonds2.txt","1000","140.477","140.6363","140.6798424213","140.6798424213","140.6798424213","140.6798424213","0","0.14439546779900272","258","37","62","true"
"rotatingDiamonds3.txt","1000","380.882","381.4749","381.5703476824","381.5703476824","381.5703476824","381.5703476824","0","0.18072465551009986","1301","52","135","true"
"rotatingDiamonds4.txt","1000","770.661","790.6007","774.3256119186","774.3256119186","774.3256119186","774.3256119186","0","0.4755154235909214","2576","88","197","true"
"rotatingDiamonds5.txt","1000","1510.75","1554.0642","1544.1784358335","1538.2524602435","1538.2524602435","1538.2524602435","0.3837623588365517","1.8204507856031826","5700","521","715","true"
"team1_100.txt","1000","307.337","308.3386","308.0474134853","308.0474134853","308.0474134853","308.0474134853","0","0.2311513046916002","274","41","75","true"
"team1_100rdmRad.txt","1000","388.537","399.2718","397.7675908298","397.1389294019","397.1389294019","397.1389294019","0.15804742326757232","2.2139279919029615","196","41","120","true"
"team2_200.txt","1000","246.683","247.4012","247.3075398051","247.3075398051","247.3075398051","247.3075398051","0","0.25317504858462053","462","37","89","true"
"team2_200rdmRad.txt","1000","613.659","618.0012","623.9248081587","623.9248081587","623.9248081587","623.9248081587","0","1.6728848038894562","862","45","275","true"
"team3_300.txt","1000","461.889","462.9603","463.1220649909","463.1220649909","463.1220649909","463.1220649909","0","0.26696132423591046","1243","38","175","true"
"team3_300rdmRad.txt","1000","378.087","379.1374","379.1418941724","379.1418941724","379.1418941724","379.1418941724","0","0.2790083161811957","214","42","180","true"
"team4_400.txt","1000","669.91","674.3437","676.4785486977","676.4785486977","676.4785486977","676.4785486977","0","0.9805121132241744","2328","43","144","true"
"team4_400rdmRad.txt","1000","984.24","1013.1424","1010.7709219541","1010.7709219541","1010.7709219541","1010.7709219541","0","2.695574448721856","2720","77","572","true"
"team5_499.txt","1000","693.798","704.9002","703.0381704625","703.0381704625","703.0381704625","703.0381704625","0","1.3318243152185552","2992","62","305","true"
"team5_499rdmRad.txt","1000","446.191","446.5254","446.5036231165","446.5036231165","446.5036231165","446.5036231165","0","0.07006486381393821","332","46","455","true"
"team6_500.txt","1000","225.216","225.4505","225.3915488144","225.3915488144","225.3915488144","225.3915488144","0","0.07794686629724468","1212","37","1014","true"
"team6_500rdmRad.txt","1000","620.886","623.6781","627.0223292356","627.0223292356","627.0223292356","627.0223292356","0","0.98831818330579","1027","52","315","true"
